pretty,year,mon,mday,hour,min,tzname,utcdate,tempm,tempi,dewptm,dewpti,hum,wspdm,wspdi,wgustm,wgusti,wdird,wdire,vism,visi,pressurem,pressurei,windchillm,windchilli,heatindexm,heatindexi,precipm,precipi,conds,icon,fog,rain,snow,hail,thunder,tornado,metar
1:00 AM +07 on June 20,2017,2017,6,20,1,0,Asia/Bangkok,26,80,24,74,79,13,8.1,,,270,West,7,4,1008,29.77,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 19184 48376 11557 72707 10265 20236 39937 40081 51002 69923 71022 84576 333 58013 70002
4:00 AM +07 on June 20,2017,2017,6,20,4,0,Asia/Bangkok,25,77,23,73,85,0,0,,,,,6,4,1007,29.74,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 19214 48376 21556 80000 10252 20230 39926 40070 57011 76062 8452/ 333 58011 69967
7:00 AM +07 on June 20,2017,2017,6,20,7,0,Asia/Bangkok,25,78,24,74,85,0,0,,,,,6,4,1007,29.75,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 20004 48376 01556 70000 10254 20235 39929 40074 51004 60014 71062 83576 333 20248 58003 69927 70010
10:00 AM +07 on June 20,2017,2017,6,20,10,0,Asia/Bangkok,31,88,23,74,54,14.8,9.2,,,260,West,9,6,1008,29.77,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20034 48376 31559 62608 10312 20232 39938 40080 51009 70522 83536 333 59005
1:00 PM +07 on June 20,2017,2017,6,20,13,0,Asia/Bangkok,31,88,23,73,52,11.1,6.9,,,270,West,9,6,1007,29.75,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20064 48376 31559 72706 10312 20227 39932 40074 56006 70522 83536 333 58009 70010
4:00 PM +07 on June 20,2017,2017,6,20,16,0,Asia/Bangkok,31,88,23,74,55,9.3,5.8,,,270,West,8,5,1005,29.68,-999,-999,-9999,-9999,,,Haze,hazy,0,0,0,0,0,0,AAXX 20094 48376 31558 62705 10310 20233 39907 40049 57025 70522 83536 333 58005
7:00 PM +07 on June 20,2017,2017,6,20,19,0,Asia/Bangkok,27,81,24,75,77,7.4,4.6,,,260,West,7,4,1006,29.72,-999,-999,-9999,-9999,,,Light Rain,rain,0,1,0,0,0,0,AAXX 20124 48376 01557 82604 10271 20239 39919 40063 52012 69942 72122 85576 333 10327 58006 69945 70014
10:00 PM +07 on June 20,2017,2017,6,20,22,0,Asia/Bangkok,26,79,23,74,79,7.4,4.6,,,220,SW,7,4,1008,29.76,-999,-999,-9999,-9999,,,Mist,hazy,0,0,0,0,0,0,AAXX 20154 48376 21557 62204 10263 20231 39933 40078 52015 71062 83536 333 59001 69966
1:00 AM +07 on January 01,2017,2017,1,1,1,0,Asia/Bangkok,25,77,19,66,62,0,0,,,,,10,6,1017,30.03,-999,-999,-9999,-9999,,,Partly Cloudy,partlycloudy,0,0,0,0,0,0,AAXX 31184 48380 11560 70000 10252 20191 30072 40167 54000 69903 70262 82556 333 59006 79999
4:00 AM +07 on January 01,2017,2017,1,1,4,0,Asia/Bangkok,24,75,20,68,73,0,0,,,,,10,6,1016,29.99,-999,-999,-9999,-9999,,,Overcast,cloudy,0,0,0,0,0,0,AAXX 31214 48380 32560 80000 10240 20200 30061 40156 57011 82557 333 59001
