"COLUMN1","time","date","mw"
"n2","07:00","2017-08-02","0.11"
"n2","10:00","2017-12-26","13.86"
"n2","05:00","2017-08-11","0.07"
"n2","05:15","2017-03-17","0.1"
"n2","22:45","2017-09-21","0.1"
"n2","23:00","2017-02-25","0.1"
"n2","08:30","2017-12-01","9.01"
"n2","01:45","2017-03-10","0"
"n2","23:45","2017-10-04","0"
"n2","02:30","2017-09-03","0.19"
"n2","12:30","2017-12-29","19.44"
"n2","06:30","2017-10-21","0.07"
"n2","16:30","2017-01-07","0"
"n2","09:45","2017-04-01","0.58"
"n2","06:15","2017-11-17","0.1"
"n2","08:00","2017-07-10","0.7"
"n2","22:30","2017-09-01","0.1"
"n2","21:15","2017-05-01","0"
"n2","03:30","2017-01-16","0"
"n2","17:15","2017-04-02","0.59"
"n2","00:15","2017-04-13","0"
"n2","18:15","2017-09-20","0.19"
"n2","16:45","2017-04-25","1.03"
"n2","19:30","2017-05-30","0"
"n2","02:45","2017-08-17","0"
"n2","14:30","2017-07-01","2.56"
"n2","01:30","2017-12-28","4.38"
"n2","04:45","2017-09-29","0"
"n2","19:00","2017-03-23","0"
"n2","19:00","2017-08-20","0.1"
"n2","13:00","2017-02-02","4.56"
"n2","05:00","2017-11-05","0.19"
"n2","08:15","2017-02-14","0.98"
"n2","03:15","2017-06-30","0"
"n2","13:00","2017-11-03","21.27"
"n2","18:45","2017-12-09","4.4"
"n2","19:30","2017-10-27","0.1"
"n2","02:45","2017-10-03","0.07"
"n2","22:45","2017-05-15","0"
"n2","18:15","2017-11-10","0.1"
"n2","12:00","2017-12-21","28.37"
"n2","15:15","2017-07-09","1.6"
"n2","23:30","2017-07-03","0"
"n2","05:00","2017-09-12","7.95"
"n2","03:00","2017-08-23","0"
"n2","04:15","2017-11-26","0.07"
"n2","02:15","2017-04-04","0"
"n2","09:15","2017-02-07","2.47"
"n2","15:30","2017-08-14","13.37"
"n2","14:30","2017-03-25","2.98"
"n2","06:15","2017-03-04","0"
"n2","13:00","2017-06-06","3.18"
"n2","14:15","2017-03-08","2.98"
"n2","04:30","2017-05-29","0"
"n2","08:45","2017-12-29","15.02"
"n2","05:45","2017-07-24","0.07"
"n2","12:30","2017-11-10","14.57"
"n2","03:30","2017-10-05","0"
"n2","17:15","2017-05-25","0.73"
"n2","23:15","2017-12-24","4.31"
"n2","04:45","2017-01-27","0"
"n2","18:00","2017-05-29","0.07"
"n2","18:00","2017-06-20","0.11"
"n2","13:00","2017-10-14","20.45"
"n2","05:00","2017-07-16","0"
"n2","00:00","2017-12-01","0"
"n2","18:15","2017-03-04","0"
"n2","00:45","2017-11-05","0.19"
"n2","11:30","2017-04-15","4.13"
"n2","17:15","2017-03-23","0.64"
"n2","17:15","2017-08-20","2.21"
"n2","23:30","2017-04-25","0"
"n2","06:30","2017-09-04","0.19"
"n2","09:30","2017-12-17","17.65"
"n2","06:15","2017-11-10","0.17"
"n2","01:45","2017-08-16","0"
"n2","03:15","2017-07-12","0"
"n2","00:45","2017-07-24","0.07"
"n2","08:45","2017-11-02","6.11"
"n2","06:30","2017-12-07","0.19"
